State	Up	Down	Left	Right
(0, 0, 0, 0)	0	0	0	0
(0, 0, 0, 1)	0	0	0	0
(0, 0, 0, 2)	0	0	0	0
(0, 0, 0, 3)	0	0	0	0
(0, 0, 0, 4)	0	0	0	0
(0, 0, 0, 5)	0	0	0	0
(0, 0, 0, 6)	0	0	0	0
(0, 0, 0, 7)	0	0	0	0
(0, 0, 0, 8)	0	0	0	0
(0, 0, 0, 9)	0	0	0	0
(0, 0, 0, 10)	0	0	0	0
(0, 0, 0, 11)	0	0	0	0
(0, 0, 0, 12)	0	0	0	0
(0, 0, 0, 13)	0	0	0	0
(0, 0, 1, 0)	0	0	0	0
(0, 0, 1, 1)	-328.08514643350577	-346.7836426107889	-330.2748581140807	-285.7785981804836
(0, 0, 1, 2)	-617.9831327822037	-506.044634795738	-579.8380974409204	-270.7718906504299
(0, 0, 1, 3)	-645.5255986546263	-434.3921451323387	-662.0267624806063	-661.9492217571092
(0, 0, 1, 4)	-626.2149955881744	-626.3578372206746	-626.6304188672357	-627.1562138620711
(0, 0, 1, 5)	-584.7946787699447	-585.8529559911722	-585.4774633195306	-585.6196688141068
(0, 0, 1, 6)	0	0	0	0
(0, 0, 1, 7)	0	0	0	0
(0, 0, 1, 8)	-43.03316142935971	-43.20541946839224	-42.658300054375516	-41.81407176096226
(0, 0, 1, 9)	-40.982033170391965	-39.967035407235116	-41.093782271074744	-41.190203393625936
(0, 0, 1, 10)	0	-1.7000000000000002	0	0
(0, 0, 1, 11)	0	0	0	0
(0, 0, 1, 12)	0	0	0	0
(0, 0, 1, 13)	0	0	0	0
(0, 0, 2, 0)	0	0	0	0
(0, 0, 2, 1)	-695.1506251650113	-695.8867721498273	-695.772545968658	-695.9185581602303
(0, 0, 2, 2)	-656.338678573501	-656.5397453046426	-656.8771453242726	-656.7971983430948
(0, 0, 2, 3)	0	0	0	0
(0, 0, 2, 4)	-614.0207693716428	-614.4780334844835	-613.5287129498196	-615.0687272930878
(0, 0, 2, 5)	-533.1893966016102	-532.3436004386593	-531.6283183527866	-532.9643004788902
(0, 0, 2, 6)	0	0	0	0
(0, 0, 2, 7)	0	0	0	0
(0, 0, 2, 8)	-51.36745006701691	-51.07455712463705	-53.19970220036887	-51.58424010987753
(0, 0, 2, 9)	-56.71157183223143	-56.477252921160876	-56.83425287112179	-57.415065442461625
(0, 0, 2, 10)	-9.157479454938557	-9.258110124955579	-8.9820179910018	-7.993938218300001
(0, 0, 2, 11)	-21.475751088540864	-21.955110310441125	-21.48159511042394	-20.331979572661844
(0, 0, 2, 12)	0	0	0	0
(0, 0, 2, 13)	0	0	0	0
(0, 0, 3, 0)	0	0	0	0
(0, 0, 3, 1)	-682.4370895876916	-682.4058504478243	-682.9645781027098	-682.4802372854989
(0, 0, 3, 2)	-669.1081325200764	-669.6375790727444	-669.4162892556155	-670.1601245059768
(0, 0, 3, 3)	0	0	0	0
(0, 0, 3, 4)	-584.5781474047442	-584.6887220370949	-583.9813115212756	-584.6155979074028
(0, 0, 3, 5)	-462.36556208044163	-462.87801988338407	-462.94718409583186	-463.1495658080249
(0, 0, 3, 6)	0	0	0	0
(0, 0, 3, 7)	-54.98977669846556	-55.87639747672177	-54.320777797232886	-55.904392887072554
(0, 0, 3, 8)	-46.0492056127138	-45.48550766767052	-44.50652039587322	-45.78908190696755
(0, 0, 3, 9)	-41.339889473257614	-40.6599834117299	-40.9575979353424	-41.83085528916102
(0, 0, 3, 10)	-53.38075706450303	-54.20561531150592	-53.328125546160585	-53.904243700590804
(0, 0, 3, 11)	0	0	0	0
(0, 0, 3, 12)	0	0	0	0
(0, 0, 3, 13)	0	0	0	0
(0, 0, 4, 0)	0	0	0	0
(0, 0, 4, 1)	-716.014941164812	-716.2329120894575	-716.4597902569566	-715.989412025186
(0, 0, 4, 2)	-717.4936004085954	-717.2376860394016	-716.5173865986025	-717.0132092880024
(0, 0, 4, 3)	0	0	0	0
(0, 0, 4, 4)	-489.28729516411346	-488.23609401263917	-487.5324714830668	-488.3784895588916
(0, 0, 4, 5)	-395.3487600983762	-395.5434576794263	-395.71315761297575	-395.9178817738328
(0, 0, 4, 6)	-214.65055912189482	-213.58113721659922	-213.91872731549975	-214.80949809915052
(0, 0, 4, 7)	-79.02844537632787	-79.71603020029949	-79.18372189160245	-80.23996648001767
(0, 0, 4, 8)	-84.07550740201633	-83.64759977893289	-84.4314098196607	-84.1030135876056
(0, 0, 4, 9)	-70.2182393930199	-69.89538903504854	-70.81624383990325	-70.63643316121731
(0, 0, 4, 10)	-83.18978776713212	-83.88361337288642	-84.25590452804082	-84.51294708688559
(0, 0, 4, 11)	0	0	0	0
(0, 0, 4, 12)	0	0	0	0
(0, 0, 4, 13)	0	0	0	0
(0, 0, 5, 0)	0	0	0	0
(0, 0, 5, 1)	0	0	0	0
(0, 0, 5, 2)	0	0	0	0
(0, 0, 5, 3)	0	0	0	0
(0, 0, 5, 4)	0	0	0	0
(0, 0, 5, 5)	0	0	0	0
(0, 0, 5, 6)	0	0	0	0
(0, 0, 5, 7)	0	0	0	0
(0, 0, 5, 8)	0	0	0	0
