State	Up	Down	Left	Right	Policy
((0, 0), (1, 1))	-338.57	-321.44	-328.08	-413.18	DOWN
((0, 0), (1, 2))	-664.67	-314.75	-581.85	-697.53	DOWN
((0, 0), (1, 3))	-749.81	-682.89	-749.14	-749.41	DOWN
((0, 0), (1, 4))	-690.27	-690.89	-689.99	-690.08	LEFT
((0, 0), (1, 5))	-661.11	-660.27	-660.48	-657.59	RIGHT
((0, 0), (1, 8))	-19.58	-21.92	-19.75	-20.51	UP
((0, 0), (1, 9))	-53.05	-53.09	-51.63	-53.54	LEFT
((0, 0), (2, 1))	-767.48	-768.43	-767.90	-767.94	UP
((0, 0), (2, 2))	-750.14	-750.78	-751.31	-749.75	RIGHT
((0, 0), (2, 4))	-683.41	-683.66	-683.91	-682.91	RIGHT
((0, 0), (2, 5))	-600.62	-600.59	-600.69	-601.51	DOWN
((0, 0), (2, 8))	-74.13	-74.71	-73.94	-74.76	LEFT
((0, 0), (2, 9))	-63.20	-63.11	-63.73	-62.71	RIGHT
((0, 0), (2, 10))	-12.72	-11.23	-12.53	-13.26	DOWN
((0, 0), (2, 11))	-1.80	-1.70	0.00	-1.70	LEFT
((0, 0), (3, 1))	-776.06	-776.66	-776.69	-776.35	UP
((0, 0), (3, 2))	-759.53	-759.18	-759.85	-759.70	DOWN
((0, 0), (3, 4))	-665.21	-665.38	-665.55	-665.55	UP
((0, 0), (3, 5))	-499.00	-499.94	-498.76	-499.65	LEFT
((0, 0), (3, 7))	-69.05	-67.72	-69.08	-69.13	DOWN
((0, 0), (3, 8))	-64.71	-64.98	-65.29	-65.84	UP
((0, 0), (3, 9))	-68.88	-68.98	-68.64	-67.54	RIGHT
((0, 0), (3, 10))	-16.02	-16.04	-16.02	-16.67	UP
((0, 0), (4, 1))	-785.92	-786.82	-786.57	-786.62	UP
((0, 0), (4, 2))	-778.36	-778.81	-778.74	-778.38	UP
((0, 0), (4, 4))	-630.72	-629.92	-630.08	-630.95	DOWN
((0, 0), (4, 5))	-459.24	-459.02	-460.01	-460.19	DOWN
((0, 0), (4, 6))	-286.06	-287.11	-287.29	-287.50	UP
((0, 0), (4, 7))	-96.26	-97.41	-95.94	-96.66	LEFT
((0, 0), (4, 8))	-107.52	-106.49	-106.88	-108.20	DOWN
((0, 0), (4, 9))	-85.81	-86.88	-86.51	-86.65	UP
((0, 0), (4, 10))	-61.87	-63.09	-62.36	-62.80	UP
((0, 1), (1, 1))	-748.04	-750.67	-317.48	-747.86	LEFT
((0, 1), (1, 2))	-325.03	-306.51	-358.79	-336.07	DOWN
((0, 1), (1, 3))	-493.73	-665.47	-751.00	-325.21	RIGHT
((0, 1), (1, 4))	-629.92	-689.94	-690.68	-325.01	RIGHT
((0, 1), (1, 5))	-661.54	-660.55	-661.84	-538.46	RIGHT
((0, 1), (1, 8))	-21.92	-21.18	-24.00	-22.72	DOWN
((0, 1), (1, 9))	-55.42	-55.13	-56.28	-56.71	DOWN
((0, 1), (2, 1))	-765.86	-765.41	-765.66	-766.72	DOWN
((0, 1), (2, 2))	-746.91	-747.66	-747.48	-746.77	RIGHT
((0, 1), (2, 4))	-684.24	-683.88	-684.59	-684.92	DOWN
((0, 1), (2, 5))	-601.73	-602.53	-602.50	-602.43	UP
((0, 1), (2, 8))	-76.67	-77.88	-77.93	-80.69	UP
((0, 1), (2, 9))	-66.72	-66.67	-67.70	-66.45	RIGHT
((0, 1), (2, 10))	-15.34	-14.98	-15.80	-16.64	DOWN
((0, 1), (2, 11))	-1.70	-1.60	-1.80	-3.50	DOWN
((0, 1), (3, 1))	-775.35	-775.39	-775.38	-775.07	RIGHT
((0, 1), (3, 2))	-758.59	-757.90	-758.68	-758.32	DOWN
((0, 1), (3, 4))	-666.82	-667.02	-666.29	-666.52	LEFT
((0, 1), (3, 5))	-502.08	-501.35	-501.38	-502.49	DOWN
((0, 1), (3, 7))	-68.79	-69.95	-68.95	-68.62	RIGHT
((0, 1), (3, 8))	-67.94	-68.67	-67.15	-69.00	LEFT
((0, 1), (3, 9))	-69.68	-70.34	-70.33	-70.49	UP
((0, 1), (3, 10))	-18.65	-19.08	-18.19	-18.59	LEFT
((0, 1), (4, 1))	-785.51	-785.75	-785.29	-785.69	LEFT
((0, 1), (4, 2))	-777.65	-778.39	-777.98	-777.97	UP
((0, 1), (4, 4))	-632.35	-632.27	-632.26	-631.83	RIGHT
((0, 1), (4, 5))	-462.71	-462.43	-461.50	-462.47	LEFT
((0, 1), (4, 6))	-289.59	-290.72	-289.50	-291.15	LEFT
((0, 1), (4, 7))	-95.95	-95.74	-98.81	-96.99	DOWN
((0, 1), (4, 8))	-109.00	-110.00	-110.59	-108.97	RIGHT
((0, 1), (4, 9))	-87.98	-87.76	-88.38	-87.18	RIGHT
((0, 1), (4, 10))	-65.13	-65.11	-65.44	-65.06	RIGHT
((0, 2), (1, 1))	-743.42	-744.48	-744.32	-743.43	UP
((0, 2), (1, 2))	-699.11	-741.94	-297.81	-742.33	LEFT
((0, 2), (1, 3))	-363.07	-308.30	-422.76	-384.19	DOWN
((0, 2), (1, 4))	-353.79	-368.43	-413.22	-320.90	RIGHT
((0, 2), (1, 5))	-508.11	-661.90	-645.89	-303.29	RIGHT
((0, 2), (1, 8))	-25.12	-27.10	-26.05	-24.96	RIGHT
((0, 2), (1, 9))	-59.46	-60.57	-60.24	-59.65	UP
((0, 2), (2, 1))	-761.60	-762.90	-762.32	-762.17	UP
((0, 2), (2, 2))	-740.93	-740.89	-742.06	-739.41	RIGHT
((0, 2), (2, 4))	-687.36	-687.05	-687.22	-686.64	RIGHT
((0, 2), (2, 5))	-604.19	-604.78	-604.71	-604.23	UP
((0, 2), (2, 8))	-85.70	-84.81	-85.13	-85.86	DOWN
((0, 2), (2, 9))	-73.64	-73.94	-73.32	-73.98	LEFT
((0, 2), (2, 10))	-18.99	-19.90	-19.78	-20.77	UP
((0, 2), (2, 11))	-4.80	-6.05	-4.77	-4.78	LEFT
((0, 2), (3, 1))	-770.83	-771.37	-770.10	-770.30	LEFT
((0, 2), (3, 2))	-755.98	-756.13	-756.84	-756.42	UP
((0, 2), (3, 4))	-668.17	-668.56	-668.73	-668.38	UP
((0, 2), (3, 5))	-504.41	-504.19	-504.74	-505.22	DOWN
((0, 2), (3, 7))	-70.43	-71.84	-71.17	-71.10	UP
